numero,label,area,suelo_urbano,poblacion,pobres_encuesta,pobres_modelo,indigentes_modelo,telefono,computador,internet,hogares,homicidios_diez,homicidios_once,analfabetismo
1,Usaquén,65.316,35.251,474773,9.8,9.95591577448591,3.42837524459057,84.1670961092502,78.2575367173409,68.0874774542644,155240,104,66,0.90
2,Chapinero,38.156,13.079,133778,8.6,5.30132009747492,2.47350087458326,87.7465508431272,83.3776188042923,76.0790325327883,58710,20,20,0.60
3,Santa Fe,45.171,6.964,109993,34.1,20.7631394725119,5.86491867664306,70.7359233755561,49.7548811244297,38.533253988495,35289,79,58,2.40
4,San Cristóbal,49.099,16.49,409799,29.6,30.2228653559428,6.70865473073385,63.1430610713567,34.4045679983895,25.5074028659798,109282,109,94,2.80
5,Usme,215.067,21.207,382876,38.8,34.1084319727536,6.51359709148654,62.6763039656183,31.8245751123266,20.5808751709318,102380,89,99,3.60
6,Tunjuelito,9.911,9.911,201843,26.9,19.7762617479922,3.36945051351793,64.889501298426,46.5967106541594,34.8808451251612,56607,43,39,2.00
7,Bosa,23.933,19.325,583056,27,25.1907192448067,4.80194012238962,56.7708560565926,33.4014771416996,21.0994421764468,160445,141,143,2.20
8,Kennedy,38.59,36.064,1019949,32.9,13.2699772243514,3.73695155346003,66.9124813991321,48.5433222450771,37.2835968962132,288293,247,274,1.60
9,Fontibón,33.281,30.528,345909,14.9,8.84018629177038,2.70302304941473,76.5098800553591,68.8932031370137,51.3138166999846,104048,32,31,0.90
10,Engativá,35.881,34.392,843722,19.2,9.10525030756576,2.11159599963021,75.9387936736044,63.1774052632868,49.5505058340342,244942,119,80,0.90
11,Suba,100.56,58.007,1069114,20.7,11.6210245118855,3.06094579249734,75.461161313018,63.4953090793734,54.5095341744639,318381,141,142,1.10
12,Barrios Unidos,11.903,11.903,233781,22,9.76170005261334,3.9177691942459,71.2559338303944,65.1426091759044,55.072520940997,76047,23,24,1.30
13,Teusaquillo,14.193,14.193,146583,10.1,3.52769420737739,2.48050592497084,89.072707532066,84.6101470344675,73.8650374487036,54341,13,11,0.80
14,Los Mártires,6.514,6.514,97926,31.8,19.8884872250475,6.37215856871515,65.6767105044115,54.0602630264691,40.2197436324288,30035,69,61,1.50
15,Antonio Nariño,4.88,4.88,108307,20.1,13.8670630707156,3.79292197180238,65.2563978442573,56.2945751444154,42.2306128376416,30987,25,16,0.80
16,Puente Aranda,17.311,17.311,258441,19.2,10.075026795284,3.01345374766388,73.333162145159,59.2486551029055,45.3349082645371,77887,48,35,0.80
17,La Candelaria,2.06,2.06,24144,30.2,22.1297216699801,8.89247846255798,67.5337186897881,56.1014771997431,44.2410618711197,9342,4,5,2.40
18,Rafael Uribe Uribe,13.834,13.834,377615,29.6,27.1406061729539,4.94339472743403,60.1070423076554,40.4300909955703,28.6977159823582,104071,83,112,2.10
19,Ciudad Bolívar,130.003,32.398,639937,33.9,32.2216093146669,5.84948205839012,59.9870240938984,29.3621162523224,20.9065439853726,169545,302,297,2.90
20,Sumapaz,780.969,0,6258,0,0,0,0,0,0,0,1,0,0.00